"AUDITOR GENERAL FOR THE FEDERATION"
"CODE OF CONDUCT BUREAU"
"CODE OF CONDUCT TRIBUNAL"
"FEDERAL CAPITAL TERRITORY ADMINISTRATION"
"FEDERAL CHARACTER COMMISSION"
"FEDERAL CIVIL SERVICE COMMISSION"
"FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY"
"FEDERAL MINISTRY OF ARTS CULTURE AND CREATIVE ECONOMY"
"FEDERAL MINISTRY OF AVIATION AND AEROSPACE"
"FEDERAL MINISTRY OF BUDGET AND ECONOMIC PLANNING"
"FEDERAL MINISTRY OF COMMUNICATIONS AND DIGITAL ECONOMY"
"FEDERAL MINISTRY OF EDUCATION"
"FEDERAL MINISTRY OF ENVIRONMENT"
"FEDERAL MINISTRY OF FINANCE"
"FEDERAL MINISTRY OF HEALTH AND SOCIAL WELFARE"
"FEDERAL MINISTRY OF HOUSING AND URBAN DEVELOPMENT"
"FEDERAL MINISTRY OF HUMANITARIAN AFFAIRS AND POVERTY ALLEVIATION"
"FEDERAL MINISTRY OF INDUSTRY TRADE AND INVESTMENT"
"FEDERAL MINISTRY OF INFORMATION AND NATIONAL ORIENTATION"
"FEDERAL MINISTRY OF JUSTICE"
"FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT"
"FEDERAL MINISTRY OF MARINE AND BLUE ECONOMY"
"FEDERAL MINISTRY OF NIGER DELTA"
"FEDERAL MINISTRY OF POLICY AFFAIRS"
"FEDERAL MINISTRY OF POWER"
"FEDERAL MINISTRY OF SCIENCE TECHNOLOGY AND INNOVATION"
"FEDERAL MINISTRY OF SOLID MINERALS DEVELOPMENT"
"FEDERAL MINISTRY OF SPECIAL DUTIES & INTER-GOVERNMENTAL AFFAIRS"
"FEDERAL MINISTRY OF SPORTS DEVELOPMENT"
"FEDERAL MINISTRY OF STEEL DEVELOPMENT"
"FEDERAL MINISTRY OF TOURISM"
"FEDERAL MINISTRY OF TRANSPORT"
"FEDERAL MINISTRY OF WATER RESOURCES"
"FEDERAL MINISTRY OF WOMEN AFFAIRS"
"FEDERAL MINISTRY OF WORKS"
"FEDERAL MINISTRY OF YOUTH DEVELOPMENT"
"FISCAL RESPONSIBILITY COMMISSION"
"INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION"
"INDEPENDENT NATIONAL ELECTORIAL COMMISSION"
"INFRASTRUCTURE CONCESSION REGULATORY"
"JUDICIARY"
"MINISTRY OF DEFENCE"
"MINISTRY OF FOREIGN AFFAIRS"
"MINISTRY OF INTERIOR"
"MINISTRY OF PETROLEUM RESOURCES"
"NATIONAL ASSEMBLY"
"NATIONAL POPULATION COMMISSION"
"NATIONAL SALARIES INCOMES AND WAGES COMMISSION"
"NATIONAL SECURITY ADVISER"
"OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION"
"POLICE SERVICE COMMISSION"
"PRESIDENCY"
"PUBLIC COMPLAINTS COMMISSION"
"REVENUE MOBILISATION ALLOCATION AND FISCAL COMMISSION"
"SECRETARY TO THE GOVERNMENT OF THE FEDERATION"
